,strIngredient1
0,Creme de Cacao
1,Absolut Kurant
2,Lager
3,Malibu rum
4,Dark rum
5,Goldschlager
6,151 proof rum
7,Jack Daniels
8,Gin
9,Peach Vodka
10,Vanilla vodka
11,Blue Curacao
13,Kahlua
14,Absolut Citron
15,Coconut rum
16,Light rum
17,Vodka
19,Amaretto
20,Cranberry juice
23,Applejack
24,White Creme de Menthe
28,Absolut Vodka
45,Rum
47,Sweet Vermouth
52,Strawberry schnapps
53,Scotch
54,Apricot brandy
55,Peppermint schnapps
56,Triple sec
58,Grenadine
60,Southern Comfort
61,Orange bitters
63,Lemon vodka
64,Blended whiskey
67,Dry Vermouth
72,Water
74,Sugar
77,Chocolate ice-cream
81,Sour mix
85,Tea
86,Campari
88,Angelica root
89,Orange juice
90,Berries
91,Apple cider
92,Tequila
93,Apple juice
95,7-Up
102,Maui
103,Champagne
112,Lemonade
113,Jägermeister
115,Crown Royal
119,Bailey's irish cream
126,Cantaloupe
128,Milk
129,Strawberries
134,Ice
135,Brandy
136,Everclear
139,Irish cream
140,Ale
142,Coffee liqueur
143,Guinness stout
151,Añejo rum
153,Midori melon liqueur
156,Vanilla Ice-Cream
157,Pineapple juice
161,Bourbon
164,Sambuca
166,Vanilla ice-cream
175,Corona
178,Coffee
180,Lime
185,Orange
188,Cocoa powder
195,Chocolate
196,Chocolate liqueur
197,Banana liqueur
198,Bacardi Limon
200,Bitters
205,Coca-Cola
207,Cointreau
208,Cranberries
210,Spiced rum
215,Whiskey
217,demerara Sugar
218,Dark Rum
219,Cherry Heering
220,gin
224,Fruit punch
226,Heavy cream
228,Dubonnet Rouge
229,Pisco
230,Chocolate syrup
231,Egg yolk
232,Egg
237,Firewater
248,Cognac
255,Yoghurt
258,Galliano
271,Lime juice
273,Cachaca
274,Red wine
280,Grapes
282,Green Creme de Menthe
283,Cider
286,Whisky
292,Hot Damn
294,Grape juice
296,Lemon peel
298,Irish whiskey
310,Apple brandy
313,Baileys irish cream
318,Blackberry brandy
327,Ginger
329,Creme de Cassis
331,Cranberry vodka
332,Kiwi liqueur
333,Kiwi
336,Kool-Aid
340,Mango
352,Carbonated water
357,Beer
367,Espresso
377,Mint
380,Absinthe
393,Cherry brandy
397,Lemon juice
406,Sprite
413,Port
419,Coffee brandy
424,Black Sambuca
427,Sugar syrup
428,Raspberry vodka
431,Frangelico
447,Grapefruit juice
451,Ricard
455,Johnnie Walker
462,Sherry
464,Jim Beam
468,Sloe gin
472,Advocaat
476,Peach nectar
478,Prosecco
482,Lemon
486,Ouzo
490,Godiva liqueur
491,Grand Marnier
497,Yukon Jack
506,Tomato juice
509,Wild Turkey
532,White Rum
536,Vermouth
537,Zima
539,Peachtree schnapps
540,Chambord raspberry liqueur
