,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
0,'57 Chevy with a White License Plate,Alcoholic,Cocktail,Highball glass,Unfilled,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Creme de Cacao,1 oz white 
1,1-900-FUK-MEUP,,Shot,Old-fashioned glass,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Absolut Kurant,1/2 oz 
2,110 in the shade,,Beer,Beer Glass,,Drop shooter in glass. Fill with beer,Lager,16 oz 
3,151 Florida Bushwacker,,Milk / Float / Shake,Beer mug,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Malibu rum,
4,155 Belmont,,,White wine glass,,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,1 shot 
5,24k nightmare,,,Shot glass,,"Add over ice,shake and pour.",Goldschlager,
6,252,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick",151 proof rum,1/2 shot Bacardi 
7,3 Wise Men,,,Collins glass,,put them them in a glass... and slam it to tha head.,Jack Daniels,1/3 oz 
8,3-Mile Long Island Iced Tea,,Ordinary Drink,Collins Glass,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,
9,410 Gone,,,,,Unfilled,Peach Vodka,2-3 oz
10,50/50,,,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Vanilla vodka,2 1/2 oz 
11,501 Blue,,,,,Mix equal amounts into a glass with ice.,Blue Curacao,"
"
12,69 Special,,,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",,2 oz dry 
13,747,,,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",Kahlua,1/3 part 
14,9 1/2 Weeks,,,Cocktail glass,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Absolut Citron,2 oz 
15,A Day at the Beach,,,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Coconut rum,1 oz 
16,A Furlong Too Late,,,,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Light rum,
