,Brewery,Style,Name,ReviewsNumber,OverallReview,Aroma,Appearance,Palate,Taste,BeerABV,PersonalRating,Comment,Favorite
0,Yellow Rose Brewing Company,American Ipa,Cactus Queen Ipa,1019075828.0,4.0,4.0,3.5,4.5,4.0,-1.0,-1,Unfilled,False
1,Yellow Rose Brewing Company,American Stout,Wildcatter's Crude Stout,1066876922.0,4.5,4.0,4.0,4.0,4.0,-1.0,-1,Unfilled,False
2,Abita Brewing Co.,Vienna Lager,Amber,1270055168.0,3.0,3.0,3.0,4.0,3.0,4.5,-1,Unfilled,False
3,Abita Brewing Co.,English Brown Ale,Turbodog,1234038897.0,4.0,3.5,4.0,3.5,4.0,5.6,-1,Unfilled,False
4,Abita Brewing Co.,Fruit / Vegetable Beer,Purple Haze,1120192454.0,4.0,4.0,4.0,3.0,2.5,4.2,-1,Unfilled,False
5,Abita Brewing Co.,American Adjunct Lager,Wheat,1307298369.0,3.5,2.5,3.5,4.0,3.0,4.2,-1,Unfilled,False
6,Abita Brewing Co.,American Pale Lager,Golden,1199082154.0,3.0,2.5,3.0,3.0,3.5,4.2,-1,Unfilled,False
7,Allagash Brewing Company,Dubbel,Allagash Dubbel Ale,1225585975.0,4.0,4.0,4.5,4.0,4.0,7.0,-1,Unfilled,False
8,Yakima Brewing Co. / Bert Grant's Ales,Scottish Ale,Bert Grant's Scottish Ale,1052583122.0,3.5,3.0,3.5,3.5,3.0,4.7,-1,Unfilled,False
9,Yakima Brewing Co. / Bert Grant's Ales,Russian Imperial Stout,Bert Grant's Imperial Stout,907200001.0,4.0,4.0,4.0,4.0,4.5,6.0,-1,Unfilled,False
10,Yakima Brewing Co. / Bert Grant's Ales,English India Pale Ale (ipa),Bert Grant's Ipa,1088950870.0,3.0,3.5,3.5,3.0,3.0,4.2,-1,Unfilled,False
11,Brouwerij Slaghmuylder,Belgian Pale Ale,Witkap Pater Singel / Stimulo,1285934527.0,4.5,4.5,4.0,4.0,4.0,6.0,-1,Unfilled,False
12,"Wild Goose Brewery, Llc",Winter Warmer,Wild Goose Snow Goose Winter Ale,1261381348.0,4.0,3.0,3.0,3.5,3.5,6.3,-1,Unfilled,False
