,Name,Roaster,Roast,Country,Price,UserRating,Origin,Description,PersonalRating,Comment,Favorite
0,“sweety” Espresso Blend,A.r.c.,Medium-light,Hong Kong,14.32,95,"['Panama', 'Ethiopia']","['Evaluated As Espresso. Sweet-toned, Deeply Rich, Chocolaty. Vanilla Paste, Dark Chocolate, Narcissus, Pink Grapefruit Zest, Black Cherry In Aroma And Cup. Plush, Syrupy Mouthfeel; Resonant, Flavor-saturated Finish. In Three Parts Milk, Rich Chocolate Tones Intensify, Along With Intimations Of Vanilla Paste And Black Cherry In The Short Finish And Floral-toned Citrus Zest In The Long.', 'An Espresso Blend Comprised Of Coffees From Panama And Ethiopia. A.r.c., Whose Motto Is “more Than Specialty,” Rigorously Controls Three Vital Elements: Sourcing Of Green Coffee, Roasting, And, In Cafe Environments, Water Quality For Brewed Coffee. For More Information, Visit Http://www.arc.coffee/en/index.html.', 'A Radiant Espresso Blend That Shines Equally In The Straight Shot And In Milk, Alive With Notes Of Rich Dark Chocolate And Black Cherry.']",-1,Unfilled,0
1,Flora Blend Espresso,A.r.c.,Medium-light,Hong Kong,9.05,94,"['Africa', 'Asia Pacific']","['Evaluated As Espresso. Sweetly Tart, Floral-toned. Honeysuckle, Oak, Dried Apricot, Dark Chocolate, Thyme In Aroma And Small Cup. Delicately Syrupy Body; Gently Drying, Floral-driven Finish In The Short And Sweetly Herb-toned In The Long. In Three Parts Milk, Chocolate, Florals And Fruit All Take Center Stage, And Thyme-like Herb Notes Gently Follow.', 'An Espresso Blend Comprised Of Coffees From Africa And The Asia-pacific. A.r.c., Whose Motto Is “more Than Specialty,” Rigorously Controls Three Vital Elements: Sourcing Of Green Coffee, Roasting, And, In Cafe Environments, Water Quality For Brewed Coffee. For More Information, Visit Http://www.arc.coffee/en/index.html.', 'A Floral-driven Straight Shot, Amplified With Notes Of Stone Fruit And Chocolate In Cappuccino-scaled Milk.']",-1,Unfilled,0
2,Ethiopia Shakiso Mormora,Revel Coffee,Medium-light,United States,4.7,92,"['Guji Zone', 'Southern Ethiopia']","['Crisply Sweet, Cocoa-toned. Lemon Blossom, Roasted Cacao Nib, Date, Rice Candy, White Peppercorn In Aroma And Cup. Savory-tart Structure; Delicate, Silky Mouthfeel. The Richly Drying Finish Leads With Cocoa-toned, Crisply Sweet Floral Notes In The Short And A Hint Of Spice (white Peppercorn) In The Long.', 'This Coffee Tied For The Third-highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Southern Ethiopia Coffees Like This One Are Produced From Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. When Processed By The Wet Or Washed Method (fruit Skin And Pulp Are Removed Before Drying) They Typically Express Great Aromatic Complexity And Intensity With A Particular Emphasis On Floral Notes. Like Virtually All Southern Ethiopia Coffees, This Coffee Is Produced By Villagers On Small, Garden Plots Interplanted With Food And Other Subsistence Crops. Revel Coffee Is A Micro-roaster Located In Billings, Montana. Its Motto: “quality Is Paramount — A Difference You Can Revel In.” Visit Www.revelcoffee.com Or Call 406-534-9621 For More Information.', 'A Gently Spice-toned, Floral- Driven Wet-processed Ethiopia Cup With Pleasing Notes Of Cocoa Throughout.']",-1,Unfilled,0
3,Ethiopia Suke Quto,Roast House,Medium-light,United States,4.19,92,"['Guji Zone', 'Oromia Region']","['Delicate, Sweetly Spice-toned. Pink Peppercorn, Date, Myrrh, Lavender, Roasted Cacao Nib In Aroma And Cup. Crisp, Spice-toned Structure With Citrus-like Acidity; Satiny, Very Smooth Mouthfeel. The Crisply Sweet Finish Centers Around Spice And Pungent Floral Notes.', 'This Coffee Tied For The Third-highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Southern Ethiopia Coffees Like This One Are Produced From Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. When Processed By The Wet Or Washed Method (fruit Skin And Pulp Are Removed Before Drying) They Typically Express Great Aromatic Complexity And Intensity With A Particular Emphasis On Floral Notes. Like Virtually All Southern Ethiopia Coffees, This One Is Produced By Villagers On Small, Garden Plots Interplanted With Food And Other Subsistence Crops. Roast House Is A Small-batch, Quality-focused Roaster Specializing In Farm-direct Organic-certified And Fair Trade Certified Coffees. Visit Roasthousecoffee.com Or Call 509-995-6500 For More Information.', 'Lavender-like Flowers And Hints Of Zesty Pink Peppercorn Animate This Crisply Sweet Wet-processed Ethiopia Cup.']",-1,Unfilled,0
4,Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Medium,United States,4.85,94,"['Gedeb District', 'Gedeo Zone']","['Deeply Sweet, Subtly Pungent. Honey, Pear, Tangerine Zest, Dark Chocolate, Pistachio In Aroma And Cup. Sweet And Juicy Yet Crisp In Structure (think Ripe Pear); Plush And Buoyant In Mouthfeel. Resonant And Flavor Saturated In The Short Finish; Simplifies Around Hints Of Tangerine And Pistachio In The Long.', 'Southern Ethiopia Coffees Like This One Are Produced From Distinctive Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. Like Virtually All Southern Ethiopia Coffees, This Coffee Is Produced By Villagers On Small Garden Plots Interplanted With Food And Other Subsistence Crops. Processed By The Wet Or Washed Method (fruit Skin And Pulp Are Removed Before Drying). This Coffee Tied For The Highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Big Creek Coffee Roasters Is A Small, Quality-oriented Batch Roaster Located In Montana’s Bitterroot Valley. Visit Www.bigcreekcoffeeroasters.com Or Call 406-375-7508 For More Information.', 'A Deeply And Generously Lush Cup Saved From Sentimentality By A Crisp, Incense-like, Slightly Savory Edge. Very Wide Range Of Aromatics.']",-1,Unfilled,0
5,Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,5.14,93,"['Odo Shakiso District', 'Guji Zone']","['Delicate, Richly And Sweetly Tart. Dried Hibiscus, Fine Musk, Almond, Sandalwood, Raspberry In Aroma And Cup. Fruit-toned, Deeply Sweet Structure With Gently-expressed Acidity; Buoyant, Satiny-smooth Mouthfeel. The Crisp, Flavor-saturated Finish Is Characterized By Sweet-tart Fruit And Floral Tones (raspberry, Hibiscus).', 'This Coffee Tied For The Second-highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Southern Ethiopia Coffees Like This One Are Produced From Distinctive Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. Like Virtually All Southern Ethiopia Coffees, This Coffee Is Produced By Villagers On Small Garden Plots Interplanted With Food And Other Subsistence Crops. This Is A Dry-processed Or “natural” Coffee, Meaning The Beans Were Dried Inside The Fruit Rather Than After The Fruit Has Been Removed, As Is The Case With Wet-processed Or “washed” Coffees. Certified Usda Organic. Established In 2010, Red Rooster Is An Organic-certified Micro-roaster Focusing On Socially Conscious Coffee And High-quality Coffee. Visit Redroostercoffee.com Or Call 540-745-7338 For More Information.', 'A Lively And Crisply Sweet, Fruit-forward Natural-processed Ethiopia Cup.']",-1,Unfilled,0
6,Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium-light,United States,3.97,93,"['Yirgacheffe Growing Region', 'Southern Ethiopia']","['High-toned, Floral. Dried Apricot, Magnolia, Almond Butter, Maple Syrup, Cherry Brandy In Aroma And Cup. Crisp, Sweetly-tart In Structure; Plush, Syrupy Mouthfeel. Notes Of Magnolia And Dried Apricot Dominate In The Flavor-laden Short Finish, With Hints Of Almond Butter And Fruit Brandy In The Long.', 'This Coffee Tied For The Second-highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Southern Ethiopia Coffees Like This One Are Produced From Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. This Is A Dry-processed Or “natural” Yirgacheffe, Meaning The Beans Were Dried Inside The Fruit Rather Than After The Fruit Has Been Removed, As Is The Case With Wet-processed Or “washed” Coffees. Certified Usda Organic. Willoughby’s Coffee & Tea Is A Pioneer Specialty Coffee Roaster Established In The Early 1980s That Has Gracefully And Successfully Moved With The Times And Now Offers A Menu Of Extremely Refined Small-lot, Single-origin Coffees. Visit Www.willoughbyscoffee.com Or Call 800-388-8400 For More Information.', 'A Deeply Sweet Natural-processed Ethiopia Cup, With Stone Fruit And Brandy Notes As Parallel Throughlines.']",-1,Unfilled,0
7,Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium-light,United States,5.14,93,"['Hambela Wamena District', 'Guji Zone']","['Very Delicate, Sweetly Savory. Lemon Verbena, Allspice, Dried Persimmon, Dogwood, Baker’s Chocolate In Aroma And Cup. Balanced, Sweet-savory Structure; Velvety-smooth Mouthfeel. The Sweetly Herb-toned Finish Centers On Notes Of Lemon Verbena And Dried Persimmon Wrapped In Baker’s Chocolate.', 'This Coffee Tied For The Second-highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Southern Ethiopia Produces Distinctive Coffees From Traditional Varieties Of Arabica Long Grown In The Region. This Lot Was Processed By The Wet Or Washed Method (fruit Skin And Pulp Are Removed Before Drying). Certified Usda Organic. Artisan Coffee-roasters In The Northern California Town Of Ukiah, Black Oak’s Mission Is To Bring To Life Each Carefully Selected Coffee’s Unique Origins. For More Information, Visit Www.blackoakcoffee.com.', 'A Delicate, Richly Sweet Wet-processed Ethiopia: Spice, Herb, Fruit And Flowers In Intricate Balance.']",-1,Unfilled,0
8,Organic Ethiopia Kirite,Wonderstate Coffee,Medium-light,United States,5.29,93,"['Hambela District', 'Guji Zone']","['High-toned, Crisply Sweet. Lemon Blossom, Apricot, Frankincense, Spearmint, Roasted Cacao Nib In Aroma And Cup. Balanced, Complete Sweet-savory Structure; Satiny, Full Mouthfeel. Sweet Spearmint Notes Carry The Cocoa-toned Finish, With Hints Of Lemon Blossom And Apricot.', 'This Coffee Tied For The Second-highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Produced By The Metad Farm And Mill In Southern Ethiopia. Southern Ethiopia Produces Distinctive Coffees From Traditional Varieties Of Arabica Long Grown In The Region. Coffees Like This One Processed By The Wet Or Washed Method (fruit Skin And Pulp Is Removed Before Drying) Typically Express Great Aromatic Complexity And Intensity With A Particular Emphasis On Citrus And Floral Notes. Ceritifed Usda Organic. Wonderstate Coffee, Formerly Kickapoo Coffee, Is An Award-winning Roaster Based In Rural Wisconsin Known For Their Commitment To Guaranteeing Higher Pay For Farmers And Being The Country’s First 100% Solar Powered Roastery. Visit Https://wonderstate.com For More Information.', 'An Inviting Wet-processed Ethiopia Cup. Invokes A Walk Through A Citrus Orchard In Spring, With A Bonus Of Sweet Herb And Cocoa Tones.']",-1,Unfilled,0
9,Ethiopia Sidama,Reunion Island Coffee,Medium,Canada,3.76,94,"['Sidama (also Sidamo) Growing Region', 'Southern Ethiopia']","['Balanced, Sweet-savory. Red Currant, Roasted Cacao Nib, Clove, Blood Orange Zest, Frankincense In Aroma And Cup. Savory-sweet Structure With Lively Acidity; Syrupy Mouthfeel. The Resonant, Spice-toned Finish Leads With Intimations Of Clove And Roasted Cacao Nib In The Short, Rounding To Rich Fruit Tones With Hints Of Frankincense In The Long.', 'This Exceptional Coffee Was Selected As The No. 17 Coffee On Coffee Review’s List Of The Top 30 Coffees Of 2017. This Coffee Also Tied For The Highest Rating In A Tasting Of 71 Organic-certified Coffees From Africa For Coffee Review’s November 2017 Tasting Report. Southern Ethiopia Coffees Like This One Are Produced From Distinctive Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. Like Virtually All Southern Ethiopia Coffees, This Coffee Is Produced By Villagers On Small Garden Plots Interplanted With Food And Other Subsistence Crops. This Lot Was Processed By The Wet Or Washed Method (fruit Skin And Pulp Are Removed Before Drying). Organic And Fair Trade Certified, The Latter Meaning They Were Purchased From Small-holding Farmers At A “fair” Or Economically Sustainable Price. Reunion Island Coffee Is A Quality-oriented Roasting Company Founded By Canadian Specialty Coffee Veteran Peter Pesce. Visit Www.reunionislandcoffee.com Or Call 800-565-5950 For More Information.', 'An Elegantly Expressive, Fruit-forward But Savory-leaning Ethiopia Cup.']",-1,Unfilled,0
10,Thiriku Aa Kenya,Pt's Coffee Roasting,Medium,United States,7.2,95,"['Central Kenya', 'Sidama (also Sidamo) Growing Region']","['Intense; Deep, Spice-complicated Sweetness. Black Currant, Baker’s Chocolate, Peppercorn Medley, Black Sage, A Hint Of Lush Lily In Aroma And Cup. Balanced And Lively In Structure: Sweetly Tart With A Savory Edge. Plush, Silky Mouthfeel. Chocolate Moves Forward In A Resonant, Long, Lively Finish.', 'Produced By The Thiriku Coffee Growers Cooperative Society From Trees Of The Sl-28, Sl-34 And Ruiru Varieties Of Arabica. Processed By A Particularly Meticulous Kenya Variation On The Traditional Wet Or “washed” Method, In Which Skin And Fruit Flesh Are Removed From The Beans Or Seeds Before They Are Dried. Aa Is The Highest Grade Of Kenya Coffee Based On Bean Size And Freedom From Imperfections. Roasted At Pt’s Coffee, Where The Motto Is “without The Love, It’s Just Coffee.” Visit Www.ptscoffee.com Or Call 888-678-5282 For More Information.', 'Mysterious And Extraordinary In The Kenya Style: Simultaneously Sweet, Savory, Tart And Entirely And Grandly Vibrant.']",-1,Unfilled,0
11,Ethiopia Natural Yirgacheffe Tore,Kakalove Cafe,Medium-light,Taiwan,3.89,93,"['Tore Village', 'Yirgacheffe Growing Region']","['Deeply Crisp, Lushly Floral. Rose, Almond, Dark Chocolate, Lime Zest, Peppermint In Aroma And Cup. Tartly Sweet With A Clear Savory Edge In Structure; Plump, Juicy Mouthfeel. Finish Is Complex And Resonant In The Short, Consolidating Around A Fading Lime And Mint In The Long.', 'Southern Ethiopia Coffees Like This One Are Produced From Distinctive Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. Like Virtually All Southern Ethiopia Coffees, This Coffee Is Produced By Villagers On Small Garden Plots Interplanted With Food And Other Subsistence Crops. Processed By The Dry Or “natural” Method, Meaning The Beans Were Dried Inside The Fruit Rather Than After The Fruit Has Been Removed, As Is The Case With Wet-processed Or ""washed"" Coffees. Kakalove Café Is A Nano-roaster Located In The Small City Of Chia-yi In Taiwan That Strives To Procure And Roast The Finest Quality Coffee. Visit Www.kakalovecafe.com.tw Or Email [email Protected] For More Information', 'An Intense Cup, Zesty But Juicy, Alive With Rose-like Flowers, Mint And Lime.']",-1,Unfilled,0
12,Direct Fair Trade Espresso,Level Ground Trading,Medium-light,Canada,2.82,92,"['Africa', 'South America']","['Evaluated As Espresso. Intrigungly Complex, Balanced. Dark Chocolate, Molasses, Cedar, Narcissus, Date In Aroma And Small Cup. Satiny-smooth Body; Sweetly Cocoa-toned Finish. In Three Parts Milk, Floral And Cocoa Tones Lead In The Short, While Hints Of Rich Date Resurface In The Long.', 'Coffees In This Blend Are All Fully Wet-processed Or “washed” And Certified Organically Grown In Both Canada And The U.s. Since 1997, Level Ground Trading Has Been An Importer And Roaster Based In Victoria, Canada, Focused On Direct Trade With Small-scale Producers In Developing Countries And On Marketing Their Products Throughout North America. Visit Www.levelground.com Or Call 888-565-6633 For More Information.', 'A Solid Espresso Blend Equally Pleasing As A Straight Shot And In Milk.']",-1,Unfilled,0
13,Decaf Ethiopia Sidamo,Old Soul Co.,Medium,United States,5.73,90,"['Sidama (also Sidamo) Growing Region', 'Southern Ethiopia']","['Surprising And Melodic, Delicate Yet Vivid. Lilac And Lemon Blossom, Fresh Sweet Grass, Honey, Moist Pipe Tobacco, Fresh-cut Elm In Aroma And Cup. In Structure Subtly And Sweetly Tart. Very Light, Silky Mouthfeel. Unexpectedly Rich And Flavor-saturated In The Finish: Pipe Tobacco, Honey, Lemon Blossom.', 'Southern Ethiopia Coffees Like This One Are Produced From Distinctive Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. This Is A Dry-processed Or “natural” Version, Meaning The Beans Were Dried Inside The Fruit Rather Than After The Fruit Has Been Removed, As Is The Case With Wet-processed Or “washed” Coffees. Decaffeinated At The Descamex Plant In Mexico By The “mountain Water Process” Which Does Not Involve Use Of Solvents. Old Soul Is A Roastery, Bakery And Crafter Of Artisanal Goods Dedicated To Quality In Every Form. Visit Www.oldsoulco.com Or Call 916-443-7685 For More Information.', 'This Very Light-roasted Decaffeinated Coffee May Suggest A Fine, Complex Chinese Black Tea In Some Respects, Though It Ultimately Enforces Its Coffee Identity With Its Tart Structure And Light-footed Authority. Oddly Idiosyncratic In Its Aromatics, But Quite Free Of The Disturbing Wood Notes Characteristic Of Many Decaffeinated Coffees.']",-1,Unfilled,0
14,Ethiopia Yirgacheffe Washed G1,A.r.c.,Medium-light,Hong Kong,6.87,92,"['Yirgacheffe Growing Region', 'Southern Ethiopia']","['Delicate, Gently Tart, Spice-toned. Pomegranate, Cocoa Powder, Lemon Blossom, White Peppercorn, Hazelnut In Aroma And Cup. Lively, Quietly Complex Structure; Crisp, Buoyant Mouthfeel. The Finish Leads With Gently Drying Notes Of Hazelnut And White Peppercorn In The Short And Segues To Cocoa-toned Citrus Blossoms In The Long.', 'Produced In Yirgacheffe, A Coffee Region In Southern Ethiopia That Produces Particularly Distinctive Coffees From Traditional Varieties Of Arabica Long Grown In The Region. Yirgacheffe Coffees Like This One Processed By The Wet Or Washed Method (fruit Skin And Pulp Are Removed Before Drying) Typically Express Great Aromatic Complexity And Intensity. Like Virtually All Yirgacheffe Coffees, This Coffee Is Produced By Villagers On Small Garden Plots Interplanted With Food And Other Subsistence Crops. A.r.c., Whose Motto Is “more Than Specialty,” Rigorously Controls Three Vital Elements: Sourcing Of Green Coffee, Roasting, And, In Cafe Environments, Water Quality For Brewed Coffee. For More Information, Visit Http://www.arc.coffee/en/index.html.', 'A Cup With A Fine-tea-like Appeal In Its Subtle Complexity And Spice-toned Presentation.']",-1,Unfilled,0
15,Ethiopia Yirgacheffe Natural G1,A.r.c.,Medium-light,Hong Kong,6.87,91,"['Yirgacheffe Growing Region', 'Southern Ethiopia']","['Rich, Sweet-toned, Balanced. Nougat, Pink Peppercorn, Lemongrass, Roasted Cacao Nib, Tea Rose In Aroma And Cup. Floral-toned, Bittersweet Structure; Delicate, Satiny Mouthfeel. Notes Of Aromatic Wood And Spice-toned Florals Carry The Gently Drying Finish.', 'Yirgacheffe Is A Coffee Region In Southern Ethiopia That Produces Distinctive Coffees From Traditional Varieties Of Arabica Long Grown In The Region. This Is A “natural” Or Dry-processed Version, Meaning The Beans Were Dried Inside The Fruit, Encouraging A Flavor Profile That Is Less Predictable And Deeper Than The More Familiar Wet-processed Floral- And Citrus-toned Yirgacheffe Profile. Like Virtually All Southern Ethiopia Coffees, This Coffee Is Produced By Villagers On Small, Garden Plots Interplanted With Food And Other Subsistence Crops. A.r.c., Whose Motto Is “more Than Specialty,” Rigorously Controls Three Vital Elements: Sourcing Of Green Coffee, Roasting, And, In Cafe Environments, Water Quality For Brewed Coffee. For More Information, Visit Http://www.arc.coffee/en/index.html', 'A Crisply Bittersweet Cup That Leads With Spicy Florals And Sweet Herb Notes.']",-1,Unfilled,0
16,“fruity” Espresso Blend,A.r.c.,Medium-light,Hong Kong,11.45,95,"['Ethiopia', 'Kenya']","['Evaluated As Espresso. Subtle And Enveloping, Richly Sweet-toned. Jasmine, Roasted Cacao Nib, Passionfruit, Sandalwood, Nougat In Aroma And Small Cup. Delicate, Silky Mouthfeel; Cocoa- And Sandalwood-toned Finish With Notes Of Passionfruit Carrying Into The Long. In Three Parts Milk, Passionfruit And Jasmine Harmonize With Cocoa And A Pleasing Aromatic Wood.', 'An Espresso Blend Comprised Of Coffees From Ethiopia, Kenya And The Yunnan Province Of China. A.r.c., Whose Motto Is “more Than Specialty,” Rigorously Controls Three Vital Elements: Sourcing Of Green Coffee, Roasting, And, In Cafe Environments, Water Quality For Brewed Coffee. For More Information, Visit Http://www.arc.coffee/en/index.html.', 'Rich, Sweet, Elegant And Cocoa-laden, This Espresso Blend Is Nougat-like In The Straight Shot And Fruit- And Floral-toned In Milk.']",-1,Unfilled,0
17,Decaf Colombia Select,Bootstrap Coffee Roasters,Medium-light,United States,4.41,87,"['Colombia', 'Ethiopia']","['Sweet, Delicate, Floral And Wood-toned. Fresh-cut Fir, Demerara Sugar, Orange Zest, Faint Rose-like Flowers In Aroma And Cup. Gently Bittersweet Structure; Very Lightly Syrupy Mouthfeel. Flavor Consolidates But Persists In A Round, Sweet-toned Finish.', 'Produced From Trees Of The Caturra And Castillo Varieties Of Arabica And Decaffeinated At Origin Using Ethyl Acetate, A Natural Solvent Derived From Sugar Cane. Bootstrap Is The Definition Of A Quality Dedicated Nano-roaster, With Every Bag Carefully Prepared By The Roaster Himself. Visit Www.bootstrapcoffeeroasters.com For More Information.', 'Those Who Value A Gently Zesty Sweetness Should Enjoy This Delicate Decaf Cup. Easy On The Palate, Easy On The Nervous System.']",-1,Unfilled,0
18,Ethiopia Awassa,Paradise Roasters,Medium-light,United States,5.28,93,"['Yirgacheffe', 'Ethiopia']","['Crisply Sweet, Multi-faceted. Candied Violet, Dark Chocolate, Pungent Juniper Wood, Grapefruit Zest, Mango In Aroma And Cup. Sweetly Tart Structure With Juicy Acidity; Satiny Mouthfeel. The Resonant Finish Centers Around Mango And Violet In The Short And Dark Chocolate In The Long, With A Hint Of Aromatic Wood.', 'Southern Ethiopia Coffees Like This One Are Produced From Distinctive Traditional Ethiopian Varieties Of Arabica Long Grown In The Region. Like Virtually All Southern Ethiopia Coffees, This Coffee Is Produced By Villagers On Small Garden Plots Interplanted With Food And Other Subsistence Crops. Processed By The Wet Or Washed Method (fruit Skin And Pulp Are Removed Before Drying). Paradise Roasters Specializes In Micro-lot Arabica And Robusta Coffees From Asia And Other Emerging Origins. The Company Prides Itself On Quality And Freshness, Craft-roasting Coffees In Small Batches Only After Orders Are Placed. Visit Www.paradiseroasters.com Or Call 763-433-0626 For More Information.', 'An Engaging, Confident Ethiopia Cup With Layered Intrigue: Flowers, Fruit, Aromatic Wood.']",-1,Unfilled,0
19,100% Kona Sl-28,Hula Daddy Kona Coffee,Medium-light,Hawai'i,33.05,97,"['Holualoa', 'North Kona Growing District']","['Spectacularly Sweet And Hugely Aromatic. Meyer Lemon Marmalade, Cedar, Pistachio, Guava, Jasmine In Aroma And Cup. Crisply Sweet/tart And Massively Juicy In Structure; Plush, Buoyant Mouthfeel. The Juicy Structure And Complex Aromatics Persist In A Long, Lingering Finish.', 'This Exceptional Coffee Was Selected As The No. 2 Coffee On Coffee Review’s List Of The Top 30 Coffees Of 2017. Hula Daddy Is A Boutique Coffee Producer With Farms At The 1,400 And 2,500 Foot Levels Of The Mount Hualalai Volcano Near The Northern End Of The Kona Growing District, Five Minutes Above The Town Of Kailua-kona. This Coffee Was Produced Entirely From Trees Of The Distinguished Sl-28 Variety Of Arabica, The Most Celebrated Of The Bourbon-derived Tree Varieties Responsible For Kenya’s Finest Coffees. This Sl-28 Was Grown At The Higher Elevation Hula Daddy Farm And Processed With The Ferment Step Conducted “dry” (no Water Added To The Tank) Using A Commercial Yeast. It Is A Limited Edition Coffee Only Available For Sale Through The Allocation List On The Hula Daddy Website. Visit Www.huladaddy.com Or Call 888-553-2339 For More Information.', 'Coffee Simply Doesn’t Get Much Better Than This. Transcendently Classic.']",-1,Unfilled,0
20,Kenya Kirinyaga Mukangu Ab,Kakalove Cafe,Medium-light,Taiwan,4.6,95,"['Kirinyaga District', 'South-central Kenya']","['Crisply Sweet-savory. Lavender, Roasted Cacao Nib, Strawberry Guava, Hazelnut, Toasted Barley In Aroma And Cup. Sweetly Floral Structure With Savory Undertones; Crisp, Velvety Mouthfeel. The Cocoa-toned Finish Leads With Spicy Florals And Tropical Fruit In The Short, Grounded By Pleasing Notes Of Toasted Barley In The Long.', 'Produced From Trees Of The Admired Sl-28 And Sl-34. Despite Grower Discontent And Urban Encroachment On Prime Coffee Lands, Kenya Continues To Produce Some Of The World’s Most Elegant And Distinctive Coffees. Kakalove Café Is A Nano-roaster Located In The Small City Of Chia-yi In Taiwan That Strives To Procure And Roast The Finest Quality Coffee. Visit Www.kakalovecafe.com.tw Or Email [email Protected] For More Information.', 'A Kenya That Covers All The Bases: Sweet-tart Fruit, Savory Depth, Spicy Florals And Cocoa.']",-1,Unfilled,0
21,Kenya Nyeri Othaya Gatugi Red Cherry Project Aa,Jackrabbit Java,Medium-dark,United States,5.29,92,"['Nyeri Growing Region', 'South-central Kenya']","['Sweetly Pungent, Gently Roasty. Scorched Cedar, Dark Chocolate, Plum, Lavender, Lime Zest In Aroma And Cup. Complex In Structure: Sweetly Tart With A Roasty, Savory Depth. Light, Satiny Mouthfeel. Lemon Zest, Dark Chocolate, Plum Carry Into A Rich Though Drying Finish.', 'Despite Grower Discontent And Urban Encroachment On Prime Coffee Lands, Kenya Continues To Produce Some Of The World’s Most Elegant And Distinctive Coffees. This Coffee Is The Result Of A Partnership Between The Othaya And Aguthi Cooperatives And Royal Coffee, Intended To Create A Methodology For Isolating And Enhancing The Highest Quality Coffees Coming From These Cooperatives. Produced From Trees Of The Sl28, Sl34, Ruiru 11 And Batian Varieties Of Arabica. Aa Is The Highest Grade Of Kenya Coffee Based On Bean Size And Freedom From Physical Imperfections. Jackrabbit Java Selects The Finest Coffees From Around The World And Roasts Them In Thermopolis, Wyoming’s Mountain Air. All Jackrabbit Java Coffees Are Specialty-grade And Roasted To Order. Visit Www.jackrabbitjava.com For More Information.', 'A Darker Roast Develops A Savory-toned Chocolate To Complement A Zesty Citrus In This Pleasingly Contradictory Kenya.']",-1,Unfilled,0
