,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
0,'57 Chevy With A White License Plate,Alcoholic,Cocktail,Highball Glass,Unfilled,1. Fill A Rocks Glass With Ice 2.add White Creme De Cacao And Vodka 3.stir,Creme De Cacao,1 Oz White
1,1-900-fuk-meup,,Shot,Old-fashioned Glass,,Shake Ingredients In A Mixing Tin Filled With Ice Cubes. Strain Into A Rocks Glass.,Absolut Kurant,1/2 Oz
2,110 In The Shade,,Beer,Beer Glass,,Drop Shooter In Glass. Fill With Beer,Lager,16 Oz
3,151 Florida Bushwacker,,Milk / Float / Shake,Beer Mug,,Combine All Ingredients. Blend Until Smooth. Garnish With Chocolate Shavings If Desired.,Malibu Rum,
4,155 Belmont,,,White Wine Glass,,Blend With Ice. Serve In A Wine Glass. Garnish With Carrot.,Dark Rum,1 Shot
5,24k Nightmare,,,Shot Glass,,"Add Over Ice,shake And Pour.",Goldschlager,
6,252,,,,,"Add Both Ingredients To Shot Glass, Shoot, And Get Drunk Quick",151 Proof Rum,1/2 Shot Bacardi
7,3 Wise Men,,,Collins Glass,,Put Them Them In A Glass... And Slam It To Tha Head.,Jack Daniels,1/3 Oz
8,3-mile Long Island Iced Tea,,Ordinary Drink,,,Fill 14oz Glass With Ice And Alcohol. Fill 2/3 Glass With Cola And Remainder With Sweet & Sour. Top With Dash Of Bitters And Lemon Wedge.,Gin,
9,410 Gone,,,,,Unfilled,Peach Vodka,2-3 Oz
10,50/50,,,,,Fill Glass With Crushed Ice. Add Vodka. Add A Splash Of Grand-marnier. Fill With O.j.,Vanilla Vodka,2 1/2 Oz
11,501 Blue,,,,,Mix Equal Amounts Into A Glass With Ice.,Blue Curacao,
12,69 Special,,,,,"Pour 2 Oz. Gin. Add 4 Oz. 7-up. Add Lemon Juice For Flavor. If You Are Weak, Top Up Glass With More 7-up.",,2 Oz Dry
13,747,,,,,"Pour Kaluha, Then Baileys, Then Frangelico Not Chilled And Not Layered -- Serve!!!",Kahlua,1/3 Part
14,9 1/2 Weeks,,,Cocktail Glass,,Combine All Ingredients In Glass Mixer. Chill And Strain Into Cocktail Glass. Garnish With Sliced Strawberry.,Absolut Citron,2 Oz
