,Name,Country,Winery,Variety,Province,Region,Points,Price,Description
0,Martha's Vineyard,Us,Heitz,Cabernet Sauvignon,California,Napa Valley,96.0,235.0,
1,Carodorum Selección Especial Reserva,Spain,Bodega Carmen Rodríguez,Tinta De Toro,Northern Spain,Toro,,110.0,
2,Special Selected Late Harvest,,Macauley,Sauvignon Blanc,,Knights Valley,,90.0,
3,Reserve,,Ponzi,Pinot Noir,Oregon,Willamette Valley,,65.0,
4,La Brûlade,France,Domaine De La Bégude,Provence Red Blend,Provence,Bandol,95.0,66.0,
5,Numanthia,,Numanthia,,,,,73.0,
6,San Román,,Maurodos,,,,,,
7,Carodorum Único Crianza,,,,,,,,
8,Silice,,Bergström,,,Chehalem Mountains,,,
9,Gap's Crown Vineyard,,Blue Farm,,,Sonoma Coast,,60.0,
10,Ronco Della Chiesa,Italy,Borgo Del Tiglio,Friulano,Northeastern Italy,Collio,,80.0,
11,Estate Vineyard Wadensvil Block,,Patricia Green Cellars,,,Ribbon Ridge,,48.0,
12,Weber Vineyard,,,,,Dundee Hills,,,
13,Château Montus Prestige,,Vignobles Brumont,Tannat,Southwest France,Madiran,,,
14,Grace Vineyard,,Domaine Serene,,,,,185.0,
15,Sigrid,,,Chardonnay,,,,,
16,Rainin Vineyard,,Hall,,,Diamond Mountain District,,325.0,
17,6 Años Reserva Premium,,Valduero,Tempranillo,,Ribera Del Duero,,,
18,Le Pigeonnier,,Château Lagrézette,Malbec,,Cahors,,290.0,
19,,,Gary Farrell,,,,,75.0,
20,Grignolino,,,Rosé,,,,24.0,
21,Prado Enea Gran Reserva,,Muga,Tempranillo Blend,,Rioja,,79.0,
22,Termanthia,,,,,,,220.0,
23,Giallo Solare,,Center Of Effort,,,Edna Valley,,,
24,R-bar-r Ranch,,Comartin,,,Santa Cruz Mountains,,45.0,
25,Maté's Vineyard,New Zealand,Kumeu River,,Kumeu,Unfilled,94.0,57.0,
26,Shea Vineyard,,,,,,,62.0,
27,Abetina,,,,,,,105.0,
28,Garys' Vineyard,,Roar,,,Santa Lucia Highlands,,,
29,The Funk Estate,,Saviah,Syrah,Washington,Walla Walla Valley (wa),,,
30,Bergulé,Bulgaria,Villa Melnik,Mavrud,Bulgaria,,90.0,15.0,
31,Babushka,,Zepaltas,,,Russian River Valley,,37.0,
32,Vigna Piaggia,,Abbadia Ardenga,Sangiovese,Tuscany,Brunello Di Montalcino,,-1.0,
33,Nonpareil Trésor Rosé Brut,,Bouvet-ladubay,Sparkling Blend,France Other,Vin Mousseux,,22.0,
34,Conner Lee Vineyard,,Buty,,,Columbia Valley (wa),,42.0,
35,Riserva,,Carillon,,,,,135.0,
36,Unfilled,,Clos De L'oratoire Des Papes,Rhône-style White Blend,Rhône Valley,Châteauneuf-du-pape,,,
37,,,Avignonesi,,,Vino Nobile Di Montepulciano,,29.0,
38,,,Casina Di Cornia,,,Chianti Classico,,23.0,
39,,,Castello Di Monterinaldi,Red Blend,,,,,
40,Amandi,,Don Bernardino,Mencía,Galicia,Ribeira Sacra,,17.0,
41,Alfonso Oloroso Seco,,González Byass,Palomino,Andalucia,Jerez,,26.0,
42,Private Reserve,,Huston,Petite Sirah,Idaho,,,55.0,
43,,,Rignana,,,,,39.0,
44,Coteaux,,Tardieu-laurent,,,Cornas,,69.0,
45,Vigneto Odoardo Beccari Riserva,,Vignavecchia,,,,,30.0,
46,Poggio Alle Mura,,Banfi,,,,,,
47,Estate Grown,,Brandlin,,,Mount Veeder,,,
48,,,Brunelli Martoccia,,,,,50.0,
49,,,Canvasback,,,Red Mountain,,40.0,
50,,,Capanne Ricci,,,,,100.0,
51,,,Chartron Et Trébuchet,,Burgundy,Chassagne-montrachet,,68.0,
52,Les 7 Hommes,,Cherrier Frères,,Loire Valley,Sancerre,,,
53,L'inédit,,Clement Et Florian Berthier,,,Coteaux Du Giennois,,28.0,
54,,,De Loach,,,,,18.0,
55,Four Flags,,Delille,,,,,,
56,Le Pavé,,Domaine Vacheron,,,,,,
57,,,Dr. Konstantin Frank,Riesling,New York,Finger Lakes,,25.0,
58,Final Final,,Efeste,Cabernet Sauvignon-syrah,,,,,
59,Poggio Bestiale,,Fattoria Di Magliano,,,Maremma Toscana,,,
60,The Apple Doesn't Fall Far From The Tree,Argentina,Matias Riccitelli,,Mendoza Province,Mendoza,91.0,,
61,,Australia,Moorooduc,,Victoria,Mornington Peninsula,,36.0,
62,Alegoría Gran Reserva,,Navarro Correas,,,,,,
63,L'homme Mort Premier Cru,,Domaine Chenevières,,,Chablis,,,
64,,Portugal,Herdade Do Rocim,Portuguese Red,Alentejano,,,,
65,Estate Select,,Jason-stephens,,,Santa Clara Valley,,,
66,Fourchaume Premier Cru,,Louis Max,,,,,38.0,
67,Animo,,Michael Mondavi Family Estate,,,,,85.0,
68,Schindler Vineyard,,Panther Creek,,,Eola-amity Hills,,,
69,Barrel Select,,Provenance Vineyards,,,Rutherford,,,
70,District Collection,,Raymond,,,St. Helena,,,
71,,,Red Car,,,,,,
72,Bussia Riserva,,Silvano Bolmida,Nebbiolo,Piedmont,Barolo,,,
73,,,Trinity Vineyards,Pinot Gris,,,,19.0,
74,Premium,,Adega Cooperativa De Borba,,Alentejo,,,,
75,Premier Cuvée,,Archery Summit,,,,,54.0,
76,Le Nombre D'or Brut Nature,,Aubry,,Champagne,Champagne,,,
77,Juliana Vineyard,,B Cellars,,,,,,
78,,,B Side,,,,,,
79,Boscato,,Bel Colle,,,,,,
80,Aeolian,,Bethel Heights,,,,,,
81,,Israel,Binyamina,,Upper Galilee,,,,
82,Palliano Riserva,,Ceste,,,Roero,,,
83,Del Comune Di Serralunga D'alba,,Cascina Cucco,,,,,59.0,
84,Bricco Luciani,,Cascina Del Monastero,,,,,,
85,Bricco Gattera,,Cordero Di Montezemolo,,,,,,
86,Montmains Premier Cru,,Domaine Gérard Duplessis,,,,,,
87,,,Eagle Glen,,,,,,
88,Bacigalupi Vineyard,,Eleven Eleven,,,,,,
89,Magnificat,,Franciscan,Meritage,,,,,
90,,,Belle Ambiance,,,California,86.0,10.0,
91,Marquês De Marialva Rosé Bruto,,Adega De Cantanhede,Baga,Beira Atlantico,,,12.0,
92,Nature,,De Stefani,Glera,Veneto,Prosecco,,,
93,Small Lot Blend,,Parducci,,,Mendocino County,,13.0,
94,Muros De Vinha,,Quinta Do Portal,,Douro,,,,
95,Château Beauvillain-monpezat,,Rigal,Malbec-merlot,,,,14.0,
96,,,The Naked Grape,,,,,,
97,,,Tin Barn,,,Sonoma Valley,,,
98,Pigmentum,,Georges Vigouroux,Merlot-malbec,,Buzet,,,
99,,,,Ugni Blanc-colombard,,Côtes De Gascogne,,,
100,,,Hawk Watch Winery,Viognier,,South Coast,,,
101,Stephanie,,Hestan,,,,,,
102,,,Il Grappolo,,,,,,
103,Bella's Blend,,Ehret,Cabernet Sauvignon-cabernet Franc,,,,,
104,Tears Of Dew Late Harvest,,Eos,Moscato,,Paso Robles,,20.0,
105,Tudor Hills Vineyard,,Martinez & Martinez,Pinot Grigio,,Yakima Valley,,,
106,,,Ironstone,Cabernet Franc,,Lodi,,,
107,,,Leaping Horse,,,,,,
108,,,Kitchen Sink,White Blend,,,,,
109,Homestead Block,,Kuleto Estate,,,,,,
110,Companhia Das Lezírias Herdade De Catapereiro Single Vineyard,,Wines & Winemakers,,Tejo,,,,
111,Terroir Único Pinot Noir,,Zorzal,,,Tupungato,,,
112,Limited Release Cold Springs Vineyard,,Charles Krug,,,Howell Mountain,,125.0,
113,Castle Hill Vineyard,,Millbrook,,,Hudson River Region,,,
114,Circumstance,South Africa,Waterkloof,,Stellenbosch,,,,
115,Reserva,,Viñalba,,,Valle De Uco,,,
116,Dulce Tinto,,Casa De La Ermita,Monastrell,Levante,Jumilla,,,
117,,,Château Clément Termes,,,Gaillac,,,
118,Il Est Des Nôôôtres!,,Château Coutinel,Gamay,,,,,
119,Convento Da Vila,,,,,,,7.0,
120,The Flyer,,Macphail,,,,,,
121,Charles Vineyard Clone 05,,Foursight,,,Anderson Valley,,49.0,
122,Solomon Hills Vineyard Rosé,,Goat Bubbles,,,Santa Maria Valley,,,
123,Paris Tasting Commemorative,,Grgich Hills,,,,,93.0,
124,Methode A L'ancienne,,Navarro,,,,,32.0,
125,Grand Wren,,Renwood,Zinfandel,,Amador County,,,
126,Central Park West Vineyard,,Trinchero,,,,,,
127,Arnegui Reserva,,Pagos Del Rey,,,,,,
128,Chianta Bianco,,Biondi,,Sicily & Sardinia,Etna,,,
129,,,Cantine Di Marzo,Greco,Southern Italy,Greco Di Tufo,,,
130,,,Alexander-smith,,,,,,
131,Cooper Ranch,,Andis,Barbera,,,,,
132,,,Benziger,,,Sonoma County,,16.0,
133,Longwood,,Beaucanon,,,,,,
134,Estate,,Brecon Estate,Grenache,,Adelaida District,,,
135,Mustang Springs,,Peachy Canyon,,,,,,
136,Smc,,Three,Rhône-style Red Blend,,,,,
137,Crianza,,Valdelacierva,,,,,,
138,Le,,Château De Lancyre,,Languedoc-roussillon,Coteaux Du Languedoc Pic Saint Loup,,,
139,,,Château Suau,,Bordeaux,Bordeaux Rosé,,,
140,Rte Blanc,,Clif Family,,,,,,
141,Hook Vineyard,,Santa Cruz Mountain Vineyard,,,,,,
142,,,Schmidt,,,Applegate Valley,,,
143,Jespersen Ranch,,Stephen Ross,Albariño,,,,,
144,,,Goldeneye,,,,,,
145,,,Mar De Viñas,,,Rías Baixas,,,
146,,,Kessler-haak,,,Sta. Rita Hills,,,
147,,,Larner,Malvasia Bianca,,Ballard Canyon,,,
148,,,Bomb,,,,89.0,,
149,Kapnias,Greece,Hatzimichalis,,Atalanti Valley,,,,
150,Brut Reserva,,Bohigas,,Catalonia,Cava,,,
151,,,Boutari,Assyrtiko,Santorini,,,21.0,
152,Axia Malagouzia,,Alpha Estate,Malagouzia,Florina,,,,
153,Ecos De Rulo Single Vineyard El Chequén Estate,Chile,Viña Bisquertt,Carmenère,Marchigue,,,,
154,,,Chateau Quattre,Bordeaux-style Red Blend,,,,,
155,,,Ledger David,,,Rogue Valley,,,
156,Viña Real Gran Reserva,,Cvne,,,,,44.0,
157,Fina Reserva Ensamblaje Malbec-cabernet Sauvignon-syrah,,Estampa,,Colchagua Valley,,,,
158,Range 30 West,,Foxen 7200,,,Happy Canyon Of Santa Barbara,,,
159,,,Irvine Family Vineyards,,,Oregon,,35.0,
160,Gaudium,,Marqués De Cáceres,,,,,,
161,,,Matchbook,,,Dunnigan Hills,,,
162,Mill Road Vineyard,,Eberle,,,,,,
163,Freedom Hill Vineyard,,Silvan Ridge,,,,,,
164,Le Redini,,Tenuta Degli Dei,,,Toscana,,,
165,Il Guardiano,,Poggio Mandorlo,,,,,,
166,,,Quinta Das Carvalhas,Touriga Nacional,,,,,
167,Del Arroyo Vineyard,,Occasio,,,Livermore Valley,,,
168,,,Sanford,,,,,,
169,Family Collection,,Santa Alba,,Curicó Valley,,,,
170,,,,Agiorgitiko,Nemea,,,,
171,Charles Vineyard Clone O5,,,,,,,,
172,Héritages Elevé En Foudres De Chêne,,Ogier,,,Côtes Du Rhône,,,
173,Gran Bajoz,,,,,,,,
174,Palazzo Altesi,,Altesino,,,,,,
